x,y,type,size
377.86,219.31,kelp_forest,12
123.09,281.48,corals,5
381.44,209.9,island,16
121.68,274.16,strong_current,13
376.4,222.38,abyss,13
121.8,272.01,ice_hole,17
388.01,244.12,island,7
119.36,273.62,danger,8
387.8,198.33,fishing_ground,13
127.16,275.04,strong_current,16
364.46,225.16,danger,4
125.74,284.23,fishing_ground,8
387.89,231.42,rocks,16
103.82,261.71,island,10
393.41,228.13,abyss,12
110.33,270.99,fishing_ground,12
383.32,211.64,abyss,5
108.48,278.62,kelp_forest,16
389.78,227.86,island,1
104.99,276.72,abyss,9
396.5,242.9,kelp_forest,12
110.89,266.07,corals,5
384.36,253.17,rocks,3
119.24,262.8,island,5
385.4,251.04,kelp_forest,2
120.61,252.7,abyss,14
398.89,250.73,abyss,2
97.35,245.77,abyss,13
400.61,246.33,island,7
95.7,268.37,ice_hole,10
401.6,244.49,strong_current,13
129.85,247.65,corals,16
398.98,256.37,ice_hole,14
88.26,240.3,strong_current,11
401.11,263.09,rocks,10
131.21,246.35,fishing_ground,6
387.95,251.77,fishing_ground,4
108.64,238.76,fishing_ground,1
379.53,253.09,ice_hole,7
111.85,242.63,danger,9
403.56,268.16,fishing_ground,8
115.46,232.93,kelp_forest,5
421.69,275.65,abyss,19
108.97,226.65,ice_hole,10
375.66,280.91,danger,11
110.3,217.35,abyss,15
368.16,288.49,abyss,6
103.61,218.34,ice_hole,15
406.74,261.63,ice_hole,5
111.93,217.63,kelp_forest,19
392.79,276.47,corals,19
126.28,214.71,fishing_ground,10
388.32,285.73,abyss,12
121.16,225.4,strong_current,4
391.84,284.6,kelp_forest,18
113.11,205.65,fishing_ground,16
378.87,278.7,island,8
105.37,204.9,rocks,4
376.85,274.5,fishing_ground,12
109.41,199.65,island,2
393.11,306.6,island,4
100.45,195.89,island,5
407.98,303.72,kelp_forest,3
113.86,189.33,strong_current,9
388.96,317.11,strong_current,18
118.97,214.73,fishing_ground,11
380.19,309.06,kelp_forest,3
114.02,213.2,fishing_ground,2
380.57,309.74,rocks,9
127.46,199.1,corals,14
376.75,320.84,island,4
114.57,190.87,corals,9
388.59,298.11,kelp_forest,13
118.39,193.53,corals,18
379.5,310.77,ice_hole,15
107.63,179.97,strong_current,10
378.74,320.54,strong_current,16
121.39,185.81,strong_current,12
381.57,322.02,ice_hole,5
124.76,183.6,fishing_ground,2
386.08,317.18,danger,10
98.45,174.74,rocks,1
382.94,333.82,rocks,7
139.76,188.03,corals,17
391.3,347.85,kelp_forest,16
124.73,173.38,kelp_forest,3
369.06,339.21,strong_current,14
126.44,184.2,rocks,10
383.59,328.69,strong_current,7
121.33,169.57,kelp_forest,17
378.55,343.99,danger,6
138.03,173.95,island,4
366.96,330.13,island,17
117.15,150.52,corals,9
378.95,342.87,corals,4
131.73,159.23,kelp_forest,7
380.31,355.01,fishing_ground,2
134.2,157.77,abyss,17
365.04,346.7,rocks,8
134.59,154.25,island,15
358.55,353.18,strong_current,15
130.41,162.93,rocks,8
370.88,354.61,island,16
131.19,142.27,fishing_ground,19
385.73,359.56,rocks,11
120.05,144.63,kelp_forest,2
358.5,345.1,fishing_ground,17
129.94,140.31,corals,16
355.41,359.97,abyss,15
134.3,133.41,rocks,13
348.33,371.91,danger,15
147.85,128.96,fishing_ground,4
352.89,369.51,kelp_forest,16
144.92,131.84,corals,12
351.84,369.03,ice_hole,4
139.91,134.05,danger,3
367.1,359.79,kelp_forest,17
155.24,129.87,corals,18
336.0,391.57,strong_current,18
133.72,113.29,rocks,17
357.58,374.7,rocks,12
147.78,132.8,danger,4
333.55,379.88,strong_current,12
162.68,127.0,danger,15
345.99,360.54,kelp_forest,16
158.54,124.04,abyss,5
348.8,375.75,danger,15
148.39,119.54,abyss,17
326.94,383.77,corals,18
173.82,133.06,abyss,5
326.14,390.45,kelp_forest,13
154.01,111.96,corals,19
327.01,376.26,ice_hole,13
182.55,111.76,corals,18
336.45,396.66,fishing_ground,14
176.26,108.18,island,4
331.55,388.22,ice_hole,4
166.58,102.4,island,19
332.33,398.26,rocks,13
161.82,110.85,island,12
316.3,406.51,abyss,7
182.22,95.42,kelp_forest,12
311.64,401.86,fishing_ground,4
177.82,100.36,island,2
318.26,398.88,abyss,2
177.99,102.61,corals,5
301.71,404.43,danger,10
180.04,101.85,ice_hole,10
307.51,394.98,strong_current,9
188.88,90.51,fishing_ground,13
311.74,415.84,corals,7
193.38,92.92,abyss,5
302.94,408.5,kelp_forest,10
197.36,100.92,danger,10
293.47,411.18,strong_current,6
182.84,95.6,island,19
284.77,415.83,strong_current,8
195.69,74.42,rocks,1
293.54,406.98,island,17
208.23,92.17,strong_current,7
291.3,422.15,strong_current,14
207.47,87.88,fishing_ground,17
298.93,407.07,danger,9
203.56,80.17,island,17
292.04,420.91,ice_hole,5
218.95,83.34,ice_hole,8
277.78,415.61,strong_current,6
215.03,88.21,ice_hole,11
278.66,395.92,kelp_forest,19
209.62,97.03,kelp_forest,4
269.37,412.61,abyss,18
212.76,83.39,abyss,1
277.56,406.71,danger,13
213.07,77.7,abyss,14
269.98,428.56,rocks,1
233.5,66.29,danger,11
273.74,428.55,ice_hole,17
227.35,77.04,corals,4
279.09,424.84,strong_current,12
247.59,82.77,strong_current,10
264.13,425.24,kelp_forest,6
220.61,71.48,rocks,1
266.72,420.33,fishing_ground,7
225.28,66.76,danger,16
267.36,426.84,corals,14
251.91,87.93,kelp_forest,6
265.94,411.53,danger,5
249.66,70.56,ice_hole,18
247.94,423.25,abyss,15
248.26,76.48,strong_current,6
243.28,430.83,kelp_forest,19
261.36,73.9,fishing_ground,1
248.3,423.11,fishing_ground,1
259.02,82.01,rocks,13
235.23,429.93,kelp_forest,3
279.19,77.97,rocks,10
242.64,426.46,rocks,3
254.59,80.72,fishing_ground,9
229.68,421.52,corals,8
274.79,68.89,island,3
224.35,430.81,abyss,13
274.46,63.44,danger,6
232.29,426.52,rocks,13
253.64,72.05,danger,12
221.87,416.73,danger,13
278.75,68.2,kelp_forest,2
216.39,425.0,abyss,16
284.65,81.04,danger,6
219.73,421.31,kelp_forest,19
287.15,82.39,corals,13
209.61,425.61,corals,17
293.79,83.28,island,9
208.77,421.03,fishing_ground,17
291.85,75.05,rocks,2
196.68,426.74,ice_hole,19
287.05,74.69,danger,19
193.08,429.88,kelp_forest,7
302.11,62.6,rocks,10
197.37,438.39,strong_current,10
294.74,82.27,kelp_forest,9
198.32,421.64,island,17
315.87,74.24,fishing_ground,15
187.15,416.69,corals,2
300.31,82.33,strong_current,4
182.98,427.27,strong_current,19
319.64,78.22,kelp_forest,17
187.11,427.06,kelp_forest,5
312.39,74.63,danger,7
189.44,412.91,ice_hole,18
329.53,91.93,corals,7
172.43,421.96,danger,17
320.5,90.41,kelp_forest,7
169.82,412.29,corals,4
325.39,77.75,kelp_forest,8
175.48,414.1,abyss,13
334.34,79.55,strong_current,4
171.57,419.13,fishing_ground,6
339.21,81.26,ice_hole,5
172.98,406.9,island,12
332.56,87.78,kelp_forest,4
161.8,404.9,corals,9
329.59,78.0,danger,4
148.65,411.69,corals,19
345.05,79.82,corals,14
155.22,413.84,ice_hole,5
348.25,83.43,rocks,18
146.29,395.18,kelp_forest,10
349.97,91.3,rocks,19
153.87,407.03,ice_hole,12
353.32,97.38,ice_hole,18
152.64,405.46,danger,17
363.17,90.49,ice_hole,11
142.15,406.68,danger,3
355.42,103.49,corals,17
141.52,394.24,kelp_forest,1
362.53,99.08,strong_current,15
126.64,397.46,strong_current,9
371.22,103.22,corals,15
122.46,395.87,abyss,3
367.47,103.67,corals,19
126.79,398.38,corals,13
386.61,100.15,rocks,12
120.07,396.75,strong_current,1
375.37,114.35,fishing_ground,17
124.55,399.29,rocks,13
374.32,99.17,kelp_forest,1
119.96,387.41,ice_hole,10
390.2,102.47,corals,15
113.02,373.33,abyss,7
392.2,115.88,island,18
113.18,381.61,ice_hole,16
386.02,119.09,corals,14
107.73,383.74,ice_hole,18
390.74,126.41,strong_current,7
105.43,379.0,ice_hole,17
396.32,137.43,corals,18
106.03,377.71,rocks,12
400.92,134.46,strong_current,8
88.03,361.79,fishing_ground,2
400.62,134.58,rocks,7
89.99,369.93,abyss,4
402.45,120.85,abyss,18
94.22,370.16,strong_current,6
411.3,131.82,kelp_forest,9
92.05,368.12,corals,9
410.37,141.1,danger,14
93.47,355.14,danger,8
417.63,143.98,rocks,19
86.48,359.51,island,3
414.63,148.52,strong_current,18
84.63,355.51,ice_hole,5
414.04,142.77,strong_current,14
78.5,353.58,kelp_forest,4
408.28,148.57,danger,7
74.71,347.23,ice_hole,12
413.03,148.88,strong_current,2
83.34,341.48,kelp_forest,11
424.55,152.35,strong_current,14
74.62,347.15,danger,16
422.59,156.97,fishing_ground,6
73.14,345.41,abyss,4
424.19,160.03,rocks,15
71.66,330.94,island,1
431.29,166.91,kelp_forest,7
64.9,331.07,kelp_forest,12
428.26,166.53,rocks,10
